id,account_id,open_time,close_time,profit,volume,symbol,trade_type,entry_price,exit_price,ticket,open_hour,day_of_week,duration_min,avg_vol_10,vol_ratio,is_revenge,is_fomo,is_size_drift,any_flag,date
1003,9,2026-03-21 08:38:00+00:00,,0.0,0.01,EURUSD,BUY,1.15348,,200000003,8,Saturday,,0.019,0.5263157894736842,False,False,False,False,2026-03-21
1021,9,2026-03-22 10:47:00+00:00,2026-03-22 14:12:00+00:00,-41.07,0.01,EURUSD,BUY,1.15837,1.16253,200000021,10,Sunday,205.0,0.019,0.5263157894736842,False,False,False,False,2026-03-22
1036,9,2026-03-22 18:24:00+00:00,2026-03-22 21:38:00+00:00,42.45,0.01,EURUSD,BUY,1.14953,1.14594,200000036,18,Sunday,194.0,0.019000000000000003,0.5263157894736842,False,False,False,False,2026-03-22
1032,9,2026-03-23 00:02:00+00:00,2026-03-23 00:31:00+00:00,58.85,0.1,EURUSD,BUY,1.14826,1.15232,200000032,0,Monday,29.0,0.028000000000000004,3.571428571428571,False,False,True,True,2026-03-23
1009,9,2026-03-24 10:50:00+00:00,2026-03-24 13:37:00+00:00,-39.67,0.05,EURUSD,SELL,1.15487,1.15749,200000009,10,Tuesday,167.0,0.032,1.5625,False,False,False,False,2026-03-24
1031,9,2026-03-24 16:45:00+00:00,2026-03-24 18:28:00+00:00,35.26,0.1,EURUSD,SELL,1.15162,1.15291,200000031,16,Tuesday,103.0,0.041,2.4390243902439024,False,False,True,True,2026-03-24
1057,9,2026-03-25 00:37:00+00:00,2026-03-25 01:39:00+00:00,31.07,0.01,EURUSD,BUY,1.15892,1.15435,200000057,0,Wednesday,62.0,0.040999999999999995,0.24390243902439027,False,False,False,False,2026-03-25
1022,9,2026-03-26 02:18:00+00:00,2026-03-26 05:41:00+00:00,36.45,0.01,EURUSD,BUY,1.15008,1.14943,200000022,2,Thursday,203.0,0.041,0.24390243902439024,False,False,False,False,2026-03-26
1011,9,2026-03-27 02:00:00+00:00,2026-03-27 04:59:00+00:00,84.06,0.05,EURUSD,BUY,1.16169,1.15581,200000011,2,Friday,179.0,0.045000000000000005,1.111111111111111,False,False,True,True,2026-03-27
1033,9,2026-03-27 09:01:00+00:00,2026-03-27 10:49:00+00:00,70.58,0.01,EURUSD,BUY,1.16091,1.1492,200000033,9,Friday,108.0,0.036,0.2777777777777778,False,False,False,False,2026-03-27
1019,9,2026-03-28 21:22:00+00:00,2026-03-29 01:11:00+00:00,-2.3,0.01,EURUSD,SELL,1.16387,1.15569,200000019,21,Saturday,229.0,0.036,0.2777777777777778,False,False,False,False,2026-03-28
1006,9,2026-03-29 17:25:00+00:00,2026-03-29 20:51:00+00:00,23.75,0.1,EURUSD,SELL,1.15342,1.15841,200000006,17,Sunday,206.0,0.045000000000000005,2.222222222222222,False,False,True,True,2026-03-29
1023,9,2026-03-31 09:34:00+00:00,2026-03-31 12:02:00+00:00,2.12,0.05,EURUSD,SELL,1.1667,1.16082,200000023,9,Tuesday,148.0,0.049,1.0204081632653061,False,False,False,False,2026-03-31
1055,9,2026-03-31 18:43:00+00:00,2026-03-31 20:18:00+00:00,57.78,0.01,EURUSD,BUY,1.14462,1.15038,200000055,18,Tuesday,95.0,0.04,0.25,False,False,False,False,2026-03-31
1013,9,2026-04-01 03:29:00+00:00,,0.0,0.01,EURUSD,BUY,1.15881,,200000013,3,Wednesday,,0.036000000000000004,0.27777777777777773,False,False,False,False,2026-04-01
1020,9,2026-04-01 05:31:00+00:00,2026-04-01 08:38:00+00:00,-16.01,0.05,EURUSD,SELL,1.16101,1.15787,200000020,5,Wednesday,187.0,0.031,1.6129032258064517,False,False,True,True,2026-04-01
1016,9,2026-04-02 00:56:00+00:00,2026-04-02 03:01:00+00:00,26.84,0.01,EURUSD,BUY,1.14072,1.15531,200000016,0,Thursday,125.0,0.031000000000000007,0.32258064516129026,False,False,False,False,2026-04-02
1042,9,2026-04-02 04:22:00+00:00,,0.0,0.01,EURUSD,SELL,1.15401,,200000042,4,Thursday,,0.031000000000000007,0.32258064516129026,False,False,False,False,2026-04-02
1030,9,2026-04-02 04:47:00+00:00,2026-04-02 05:26:00+00:00,14.54,0.01,EURUSD,BUY,1.15564,1.15495,200000030,4,Thursday,39.0,0.027000000000000003,0.37037037037037035,False,False,False,False,2026-04-02
1017,9,2026-04-02 18:41:00+00:00,2026-04-02 22:12:00+00:00,28.82,0.01,EURUSD,SELL,1.14671,1.15551,200000017,18,Thursday,211.0,0.027000000000000003,0.37037037037037035,False,False,False,False,2026-04-02
1049,9,2026-04-04 08:29:00+00:00,2026-04-04 09:35:00+00:00,-2.58,0.01,EURUSD,BUY,1.14979,1.14628,200000049,8,Saturday,66.0,0.027000000000000003,0.37037037037037035,False,False,False,False,2026-04-04
1027,9,2026-04-04 15:40:00+00:00,2026-04-04 16:52:00+00:00,-33.67,0.01,EURUSD,SELL,1.1499,1.15979,200000027,15,Saturday,72.0,0.018,0.5555555555555556,False,False,False,False,2026-04-04
1038,9,2026-04-04 22:39:00+00:00,2026-04-04 22:56:00+00:00,10.71,0.01,EURUSD,SELL,1.14971,1.15157,200000038,22,Saturday,17.0,0.014000000000000002,0.7142857142857142,False,False,False,False,2026-04-04
1058,9,2026-04-06 03:34:00+00:00,2026-04-06 06:43:00+00:00,106.03,0.01,EURUSD,SELL,1.16477,1.15603,200000058,3,Monday,189.0,0.014000000000000002,0.7142857142857142,False,False,False,False,2026-04-06
1054,9,2026-04-07 18:07:00+00:00,2026-04-07 19:16:00+00:00,2.31,0.1,EURUSD,SELL,1.14528,1.15629,200000054,18,Tuesday,69.0,0.023000000000000003,4.3478260869565215,False,False,True,True,2026-04-07
1000,9,2026-04-08 19:28:00+00:00,2026-04-08 20:44:00+00:00,50000.0,0.0,,OTHER,1.1619,1.15559,200000000,19,Wednesday,76.0,0.018,0.0,False,False,False,False,2026-04-08
1010,9,2026-04-10 06:08:00+00:00,2026-04-10 08:54:00+00:00,5.17,0.01,EURUSD,SELL,1.15875,1.15015,200000010,6,Friday,166.0,0.018,0.5555555555555556,False,False,True,True,2026-04-10
1052,9,2026-04-11 06:13:00+00:00,2026-04-11 08:30:00+00:00,27.98,0.05,EURUSD,SELL,1.15445,1.16238,200000052,6,Saturday,137.0,0.022000000000000002,2.2727272727272725,False,False,True,True,2026-04-11
1002,9,2026-04-11 15:14:00+00:00,2026-04-11 18:13:00+00:00,-44.05,0.1,EURUSD,BUY,1.15967,1.16143,200000002,15,Saturday,179.0,0.031000000000000007,3.2258064516129026,False,False,True,True,2026-04-11
1034,9,2026-04-11 22:25:00+00:00,2026-04-12 01:02:00+00:00,-14.32,0.01,EURUSD,SELL,1.14808,1.15498,200000034,22,Saturday,157.0,0.031,0.3225806451612903,False,False,False,False,2026-04-11
1045,9,2026-04-12 11:28:00+00:00,,0.0,0.01,EURUSD,BUY,1.15346,,200000045,11,Sunday,,0.031,0.3225806451612903,False,False,False,False,2026-04-12
1015,9,2026-04-13 11:19:00+00:00,2026-04-13 12:38:00+00:00,28.15,0.01,EURUSD,SELL,1.14969,1.15236,200000015,11,Monday,79.0,0.031,0.3225806451612903,False,False,False,False,2026-04-13
1014,9,2026-04-14 14:42:00+00:00,2026-04-14 14:59:00+00:00,6.51,0.01,EURUSD,SELL,1.15858,1.15187,200000014,14,Tuesday,17.0,0.031000000000000007,0.32258064516129026,False,False,False,False,2026-04-14
1007,9,2026-04-14 17:46:00+00:00,2026-04-14 20:24:00+00:00,2.96,0.1,EURUSD,BUY,1.15761,1.14645,200000007,17,Tuesday,158.0,0.04,2.5,False,False,True,True,2026-04-14
1029,9,2026-04-14 18:53:00+00:00,2026-04-14 19:24:00+00:00,-44.93,0.05,EURUSD,SELL,1.15447,1.16767,200000029,18,Tuesday,31.0,0.035,1.4285714285714286,False,False,False,False,2026-04-14
1046,9,2026-04-15 01:50:00+00:00,2026-04-15 05:29:00+00:00,6.68,0.05,EURUSD,BUY,1.15089,1.15153,200000046,1,Wednesday,219.0,0.04,1.25,False,False,False,False,2026-04-15
1035,9,2026-04-15 15:13:00+00:00,2026-04-15 18:52:00+00:00,34.8,0.01,EURUSD,BUY,1.164,1.1462,200000035,15,Wednesday,219.0,0.04,0.25,False,False,False,False,2026-04-15
1026,9,2026-04-17 02:24:00+00:00,,0.0,0.01,EURUSD,SELL,1.15487,,200000026,2,Friday,,0.036000000000000004,0.27777777777777773,False,False,False,False,2026-04-17
1050,9,2026-04-18 03:11:00+00:00,2026-04-18 05:42:00+00:00,4.16,0.1,EURUSD,BUY,1.15448,1.15093,200000050,3,Saturday,151.0,0.036,2.777777777777778,False,False,True,True,2026-04-18
1018,9,2026-04-18 16:57:00+00:00,2026-04-18 17:40:00+00:00,-61.75,0.01,EURUSD,SELL,1.15451,1.15387,200000018,16,Saturday,43.0,0.036000000000000004,0.27777777777777773,False,False,False,False,2026-04-18
1047,9,2026-04-19 12:10:00+00:00,2026-04-19 14:58:00+00:00,0.78,0.01,EURUSD,BUY,1.15647,1.15425,200000047,12,Sunday,168.0,0.036000000000000004,0.27777777777777773,False,False,False,False,2026-04-19
1001,9,2026-04-22 01:23:00+00:00,2026-04-22 02:05:00+00:00,45.7,0.01,EURUSD,BUY,1.15186,1.15411,200000001,1,Wednesday,42.0,0.036000000000000004,0.27777777777777773,False,False,False,False,2026-04-22
1039,9,2026-04-22 22:08:00+00:00,2026-04-23 00:21:00+00:00,48.6,0.01,EURUSD,SELL,1.15073,1.15163,200000039,22,Wednesday,133.0,0.036000000000000004,0.27777777777777773,False,False,False,False,2026-04-22
1025,9,2026-04-23 00:23:00+00:00,2026-04-23 02:20:00+00:00,26.88,0.01,EURUSD,BUY,1.15824,1.15513,200000025,0,Thursday,117.0,0.026999999999999996,0.3703703703703704,False,False,False,False,2026-04-23
1040,9,2026-04-23 15:24:00+00:00,2026-04-23 17:25:00+00:00,25.84,0.01,EURUSD,BUY,1.16228,1.16522,200000040,15,Thursday,121.0,0.023,0.4347826086956522,False,False,False,False,2026-04-23
